graph algo p k cores seed v local_e cross_e read_time running_time rounds matching_size matching_weight
fb_clusterA_full kCS umetis 8 8 2 357059 24028573 19028938 15.229272 7.311278 333 32300 29135373324.00
fb_clusterA_full kCS uwmetis 4 16 0 357059 3668695 39388816 12.423204 0.720280 162 16324 17915559535.00
fb_clusterA_full kCS uwmetis 4 16 1 357059 3668695 39388816 12.458795 0.714862 162 16324 17915559535.00
fb_clusterA_full kCS uwmetis 4 16 2 357059 3626390 39431121 12.265925 0.704731 161 16324 17915566581.00
fb_clusterA_full kCS uwmetis 4 32 0 357059 2274322 40783189 12.564302 0.407010 161 16325 17915566075.00
fb_clusterA_full kCS uwmetis 4 32 1 357059 2274322 40783189 12.527749 0.409045 161 16325 17915566075.00
fb_clusterA_full kCS uwmetis 4 32 2 357059 2254370 40803141 13.303049 0.468016 162 16325 17915570901.00
fb_clusterA_full kCS uwmetis 4 4 0 357059 11755650 31301861 13.371129 3.014281 153 16320 17915565408.00
fb_clusterA_full kCS uwmetis 4 4 1 357059 11755650 31301861 13.397848 3.001042 153 16320 17915565408.00
fb_clusterA_full kCS uwmetis 4 4 2 357059 11751086 31306425 13.342230 2.988888 157 16322 17915574609.00
fb_clusterA_full kCS uwmetis 4 8 0 357059 6502270 36555241 12.902257 1.433037 157 16325 17915560918.00
fb_clusterA_full kCS uwmetis 4 8 1 357059 6502270 36555241 12.875585 1.438536 157 16325 17915560918.00
fb_clusterA_full kCS uwmetis 4 8 2 357059 6440740 36616771 13.291064 1.423469 165 16324 17915575804.00
fb_clusterA_full kCS uwmetis 8 16 0 357059 3668695 39388816 12.376281 0.832287 306 32297 29135372418.00
fb_clusterA_full kCS uwmetis 8 16 1 357059 3668695 39388816 12.372799 0.833042 306 32297 29135372418.00
fb_clusterA_full kCS uwmetis 8 16 2 357059 3626390 39431121 12.469119 0.819751 299 32306 29135363396.00
fb_clusterA_full kCS uwmetis 8 32 0 357059 2274322 40783189 12.617577 0.512978 319 32315 29135356535.00
fb_clusterA_full kCS uwmetis 8 32 1 357059 2274322 40783189 12.182955 0.515176 319 32315 29135356535.00
fb_clusterA_full kCS uwmetis 8 32 2 357059 2254370 40803141 12.621218 0.664971 329 32300 29135364374.00
fb_clusterA_full kCS uwmetis 8 4 0 357059 11755650 31301861 13.648990 3.213551 302 32310 29135354395.00
fb_clusterA_full kCS uwmetis 8 4 1 357059 11755650 31301861 13.456754 3.235781 302 32310 29135354395.00
fb_clusterA_full kCS uwmetis 8 4 2 357059 11751086 31306425 13.330277 3.192151 298 32292 29135368447.00
fb_clusterA_full kCS uwmetis 8 8 0 357059 6502270 36555241 12.681004 1.630212 317 32310 29135361148.00
fb_clusterA_full kCS uwmetis 8 8 1 357059 6502270 36555241 12.636456 1.625713 317 32310 29135361148.00
fb_clusterA_full kCS uwmetis 8 8 2 357059 6440740 36616771 12.853247 1.623789 324 32302 29135352301.00
fb_clusterA_full kMM diststream 4 16 0 357059 2309760 40747751 24.122079 0.927194 34 16323 17853189871.00
fb_clusterA_full kMM diststream 4 16 1 357059 2371189 40686322 23.711283 0.976699 36 16337 17869254622.00
fb_clusterA_full kMM diststream 4 16 2 357059 2375942 40681569 23.224825 0.880661 35 16333 17830674626.00
fb_clusterA_full kMM diststream 4 32 0 357059 1372559 41684952 20.967831 0.701421 35 16336 17860143476.00
fb_clusterA_full kMM diststream 4 32 1 357059 1384089 41673422 20.049295 0.724339 35 16340 17862691594.00
fb_clusterA_full kMM diststream 4 32 2 357059 1385798 41671713 19.972472 0.709727 33 16331 17830901402.00
fb_clusterA_full kMM diststream 4 4 0 357059 5087435 37970076 36.678730 1.681772 34 16321 17836568811.00
fb_clusterA_full kMM diststream 4 4 1 357059 4149347 38908164 37.109419 1.781695 36 16331 17826511767.00
fb_clusterA_full kMM diststream 4 4 2 357059 6373282 36684229 36.879588 1.707996 34 16340 17857088982.00
fb_clusterA_full kMM diststream 4 8 0 357059 3198771 39858740 28.332110 1.039115 35 16333 17831233620.00
fb_clusterA_full kMM diststream 4 8 1 357059 2985131 40072380 28.846780 1.137837 35 16334 17837274265.00
fb_clusterA_full kMM diststream 4 8 2 357059 3286563 39770948 29.252947 1.132255 34 16333 17826155572.00
fb_clusterA_full kMM diststream 8 16 0 357059 2309760 40747751 23.186002 1.329209 46 32343 29103524006.00
fb_clusterA_full kMM diststream 8 16 1 357059 2371189 40686322 23.692373 1.492322 47 32343 29103325141.00
fb_clusterA_full kMM diststream 8 16 2 357059 2375942 40681569 23.398873 1.281054 47 32329 29104297205.00
fb_clusterA_full kMM diststream 8 32 0 357059 1372559 41684952 20.079204 1.073441 47 32352 29092642124.00
fb_clusterA_full kMM diststream 8 32 1 357059 1384089 41673422 20.265779 1.112800 47 32355 29113846657.00
fb_clusterA_full kMM diststream 8 32 2 357059 1385798 41671713 20.995656 1.126591 49 32349 29107890424.00
fb_clusterA_full kMM diststream 8 4 0 357059 5087435 37970076 36.096161 2.480280 46 32350 29099385347.00
fb_clusterA_full kMM diststream 8 4 1 357059 4149347 38908164 36.711275 2.598304 45 32348 29108090861.00
fb_clusterA_full kMM diststream 8 4 2 357059 6373282 36684229 36.445828 2.529620 46 32340 29095225157.00
fb_clusterA_full kMM diststream 8 8 0 357059 3198771 39858740 29.291464 1.611863 47 32347 29106293228.00
fb_clusterA_full kMM diststream 8 8 1 357059 2985131 40072380 29.104732 1.725949 47 32355 29094305764.00
fb_clusterA_full kMM diststream 8 8 2 357059 3286563 39770948 28.882894 1.699294 48 32343 29108989869.00
