graph,cores,seed,metis,umetis,uwmetis,ukahip,random,diststream
rgg_s20_ef48_0.55_0.15_0.15_0.15_exp,32,2,33.464,50.116,124.314,992.53,0.01610,1.16781
rgg_s20_ef48_0.45_0.15_0.15_0.25_exp,4,0,33.344,105.337,46.414,68.4332,0.01133,2.57998
rgg_s20_ef48_0.45_0.15_0.15_0.25_exp,4,1,33.053,47.453,100.903,61.758,0.01111,3.62494
rgg_s20_ef48_0.45_0.15_0.15_0.25_exp,4,2,30.190,98.569,110.424,62.5325,0.01256,3.48613
rgg_s20_ef48_0.45_0.15_0.15_0.25_exp,8,0,32.053,119.344,112.100,63.5911,0.01192,1.79247
rgg_s20_ef48_0.45_0.15_0.15_0.25_exp,8,1,30.302,45.428,43.395,78.6384,0.01086,3.19304
rgg_s20_ef48_0.45_0.15_0.15_0.25_exp,8,2,30.560,119.178,47.323,71.7407,0.01090,3.42682
rgg_s20_ef48_0.45_0.15_0.15_0.25_exp,16,0,40.679,131.019,126.485,563.003,0.01622,1.26419
rgg_s20_ef48_0.45_0.15_0.15_0.25_exp,16,1,41.038,53.380,126.821,1002.17,0.01167,1.81323
rgg_s20_ef48_0.45_0.15_0.15_0.25_exp,16,2,N/A,118.892,57.106,443.894,0.01534,2.08836
rgg_s20_ef48_0.45_0.15_0.15_0.25_exp,32,0,N/A,167.112,159.717,636.117,0.02824,1.48924
rgg_s20_ef48_0.45_0.15_0.15_0.25_exp,32,1,N/A,161.541,155.453,569.548,0.02645,1.48573
rgg_s20_ef48_0.45_0.15_0.15_0.25_exp,32,2,46.105,77.494,72.597,571.856,0.02434,1.18760
rgg_s20_ef48_0.55_0.15_0.15_0.15_uni,4,0,N/A,87.485,33.071,36.5894,0.01087,2.97457
rgg_s20_ef48_0.55_0.15_0.15_0.15_uni,4,1,N/A,81.352,74.163,43.2524,0.01320,3.00620
rgg_s20_ef48_0.55_0.15_0.15_0.15_uni,4,2,N/A,39.572,31.288,44.9307,0.01089,3.25261
rgg_s20_ef48_0.55_0.15_0.15_0.15_uni,8,0,N/A,35.747,87.596,48.924,0.01124,2.08003
rgg_s20_ef48_0.55_0.15_0.15_0.15_uni,8,1,N/A,32.998,40.629,51.3129,0.00741,1.95036
rgg_s20_ef48_0.55_0.15_0.15_0.15_uni,8,2,N/A,87.553,76.583,48.0892,0.01491,3.19944
rgg_s20_ef48_0.55_0.15_0.15_0.15_uni,16,0,N/A,45.911,87.293,57.1309,0.01569,1.99421
rgg_s20_ef48_0.55_0.15_0.15_0.15_uni,16,1,N/A,112.580,98.907,53.8126,0.01183,1.34718
rgg_s20_ef48_0.55_0.15_0.15_0.15_uni,16,2,N/A,111.350,106.866,54.4731,0.01426,1.90379
rgg_s20_ef48_0.55_0.15_0.15_0.15_uni,32,0,N/A,122.320,119.986,1080.38,0.02243,2.19586
rgg_s20_ef48_0.55_0.15_0.15_0.15_uni,32,1,N/A,128.241,49.422,1117.6,0.02705,1.62052
rgg_s20_ef48_0.55_0.15_0.15_0.15_uni,32,2,N/A,52.341,45.869,983.73,0.02599,1.94411
