graph,algo,k,seed,n,m,read_time,running_time,matching_size,matching_weight
rmat_s23_ef24_0.55_0.15_0.15_0.15_uni,MRepLM_1,16,2,8388608,198780869,91.756286,660.580721,23645856,8423779248959.00
rmat_s24_ef24_0.45_0.15_0.15_0.25_uni,kMM_1,16,0,16777216,402479213,289.320453,178.299631,103035301,37730711776915.00
rmat_s24_ef24_0.45_0.15_0.15_0.25_uni,kMM_1,16,1,16777216,402479213,282.001877,176.697300,103035301,37730711776915.00
rmat_s24_ef24_0.45_0.15_0.15_0.25_uni,kMM_1,16,2,16777216,402479213,285.096020,176.260207,103035301,37730711776915.00
rmat_s24_ef24_0.45_0.15_0.15_0.25_uni,MRepLM_1,16,0,16777216,402479213,284.305218,1478.145604,102940220,37775918401589.00
rmat_s24_ef24_0.45_0.15_0.15_0.25_uni,MRepLM_1,16,1,16777216,402479213,279.522525,1485.349707,102940235,37775900701342.00
rmat_s24_ef24_0.45_0.15_0.15_0.25_uni,MRepLM_1,16,2,16777216,402479213,284.566065,1093.245013,102940340,37775940578944.00
rmat_s18_ef48_0.25_0.25_0.25_0.25_uni,kMM_1,16,0,262144,12580633,7.897858,1.546591,2071770,920655955643.00
rmat_s18_ef48_0.25_0.25_0.25_0.25_uni,kMM_1,16,1,262144,12580633,6.932961,1.672556,2071770,920655955643.00
rmat_s18_ef48_0.25_0.25_0.25_0.25_uni,kMM_1,16,2,262144,12580633,7.382793,2.260642,2071770,920655955643.00
rmat_s18_ef48_0.25_0.25_0.25_0.25_uni,MRepLM_1,16,0,262144,12580633,6.994320,11.765793,2072346,926983831260.00
rmat_s18_ef48_0.25_0.25_0.25_0.25_uni,MRepLM_1,16,1,262144,12580633,6.994216,9.849287,2072352,926986378352.00
rmat_s18_ef48_0.25_0.25_0.25_0.25_uni,MRepLM_1,16,2,262144,12580633,7.911297,10.258971,2072341,926983337217.00
rmat_s22_ef24_0.25_0.25_0.25_0.25_uni,kMM_1,16,0,4194304,100662701,70.917439,54.229163,32593469,13063923888705.00
rmat_s22_ef24_0.25_0.25_0.25_0.25_uni,kMM_1,16,1,4194304,100662701,67.480958,51.020377,32593469,13063923888705.00
rmat_s22_ef24_0.25_0.25_0.25_0.25_uni,kMM_1,16,2,4194304,100662701,69.977530,48.029218,32593469,13063923888705.00
rmat_s22_ef24_0.25_0.25_0.25_0.25_uni,MRepLM_1,16,0,4194304,100662701,68.035557,197.536776,32644567,13181495903751.00
rmat_s22_ef24_0.25_0.25_0.25_0.25_uni,MRepLM_1,16,1,4194304,100662701,69.419284,198.401727,32644407,13181484824774.00
rmat_s22_ef24_0.25_0.25_0.25_0.25_uni,MRepLM_1,16,2,4194304,100662701,69.533088,138.682673,32644432,13181476020181.00
rmat_s16_ef48_0.45_0.15_0.15_0.25_exp,kMM_1,16,0,65536,3076205,1.912721,0.604058,482323,37256557434.00
rmat_s16_ef48_0.45_0.15_0.15_0.25_exp,kMM_1,16,1,65536,3076205,1.110253,0.492345,482323,37256557434.00
rmat_s16_ef48_0.45_0.15_0.15_0.25_exp,kMM_1,16,2,65536,3076205,1.112810,0.502354,482323,37256557434.00
rmat_s16_ef48_0.45_0.15_0.15_0.25_exp,MRepLM_1,16,0,65536,3076205,1.931678,3.158175,482204,37326658944.00
rmat_s16_ef48_0.45_0.15_0.15_0.25_exp,MRepLM_1,16,1,65536,3076205,1.931567,3.139310,482207,37326699512.00
