graph algo p k cores repeat v local_e cross_e read_time running_time rounds matching_size matching_weight
rmat_s26_ef8_0.55_0.15_0.15_0.15_exp kCS random 4 128 1 67108864 4183332 531416625 19.163288 2.806718 57 43903063 2956612934440.00
rmat_s26_ef8_0.55_0.15_0.15_0.15_exp kCS random 4 128 2 67108864 4185101 531414856 19.055583 2.798513 57 43903065 2956613323243.00
rmat_s26_ef8_0.55_0.15_0.15_0.15_uni kCS random 4 128 0 67108864 4180605 531419667 19.883364 2.799864 58 43903959 15864341532008.00
rmat_s26_ef8_0.55_0.15_0.15_0.15_uni kCS random 4 128 1 67108864 4184326 531415946 20.343369 2.838769 58 43903941 15864337176584.00
rmat_s26_ef8_0.55_0.15_0.15_0.15_uni kCS random 4 128 2 67108864 4180605 531419667 20.043249 2.797505 58 43903978 15864343867751.00
rmat_s27_ef8_0.25_0.25_0.25_0.25_exp kCS random 4 128 0 134217728 8387488 1065354271 40.869660 6.859847 46 250131910 17708749736440.00
rmat_s27_ef8_0.25_0.25_0.25_0.25_exp kCS random 4 128 1 134217728 8387365 1065354394 41.206100 6.705932 46 250131864 17708749265934.00
rmat_s27_ef8_0.25_0.25_0.25_0.25_exp kCS random 4 128 2 134217728 8385893 1065355866 41.321995 7.083062 46 250131909 17708751561507.00
rmat_s27_ef8_0.25_0.25_0.25_0.25_uni kCS random 4 128 0 134217728 8391624 1065350122 42.266621 6.791626 48 250130211 101317856129841.00
rmat_s27_ef8_0.25_0.25_0.25_0.25_uni kCS random 4 128 1 134217728 8390733 1065351013 42.455603 6.813071 48 250130180 101317847791640.00
rmat_s27_ef8_0.25_0.25_0.25_0.25_uni kCS random 4 128 2 134217728 8390214 1065351532 42.578338 6.815659 48 250130212 101317849243746.00
rmat_s27_ef8_0.45_0.15_0.15_0.25_exp kCS random 4 128 0 134217728 8385999 1065263982 40.727971 7.016454 54 196298332 13110582413470.00
rmat_s27_ef8_0.45_0.15_0.15_0.25_exp kCS random 4 128 1 134217728 8387624 1065262357 40.809527 7.052141 54 196298304 13110583482222.00
rmat_s27_ef8_0.45_0.15_0.15_0.25_exp kCS random 4 128 2 134217728 8381884 1065268097 40.771133 7.113949 54 196298347 13110583925398.00
