graph algo p k cores repeat v local_e cross_e read_time running_time rounds matching_size matching_weight
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 8 16 0 1048576 3135146 47000142 20.470258 0.761485 105 3903505 362538726581.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 8 16 1 1048576 3133799 47001489 20.382826 0.754331 105 3903502 362538487536.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 8 16 0 1048576 3136056 46999583 21.249543 0.757868 104 3904212 1689093604396.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 8 16 1 1048576 3134095 47001544 20.840372 0.759350 103 3904188 1689092347497.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 8 16 0 1048576 3006573 45114918 34.849537 0.737280 101 2384060 193423407917.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 8 16 1 1048576 3006509 45114982 42.614994 0.713610 100 2384061 193423387715.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 8 16 0 1048576 3007028 45118774 20.348523 0.721841 100 2384724 931767256300.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 8 16 1 1048576 3009199 45116603 19.967066 0.713152 100 2384788 931772678205.00
fbA kCS random 8 16 2 357059 2693762 40363749 17.283927 0.773273 332 32293 29135358011.00
fbC kCS random 8 16 2 990023 2540435 38114276 16.263293 1.184250 332 31000 239913214155.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 8 16 2 1048576 3145222 47184134 20.676035 0.744235 112 4148162 438656721325.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 8 16 2 1048576 3148008 47181238 20.905112 0.756822 107 4148301 1932891248795.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 8 16 2 1048576 3132518 47002770 20.685442 0.764997 105 3903504 362538651240.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 8 16 2 1048576 3133167 47002472 21.297597 0.746586 104 3904159 1689086479759.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 8 16 2 1048576 3011174 45110317 19.700406 0.711259 100 2384058 193423310667.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 8 16 2 1048576 3008634 45117168 20.375580 0.718263 99 2384764 931775934348.00
fbA kCS random 8 32 0 357059 1347533 41709978 16.860691 0.478521 334 32298 29135367040.00
fbA kCS random 8 32 1 357059 1346507 41711004 16.436421 0.490053 330 32305 29135359363.00
fbC kCS random 8 32 0 990023 1269367 39385344 16.347458 0.889668 336 31001 239913210946.00
fbC kCS random 8 32 1 990023 1271924 39382787 16.691620 0.994176 317 30999 239913208117.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 8 32 0 1048576 1571499 48757857 20.385863 0.629310 111 4148176 438656359195.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 8 32 1 1048576 1573531 48755825 21.154950 0.627172 113 4148173 438656969067.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 8 32 0 1048576 1573659 48755587 20.740221 0.602864 108 4148291 1932889605303.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 8 32 1 1048576 1574004 48755242 20.711827 0.611760 108 4148315 1932889975893.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 8 32 0 1048576 1567697 48567591 20.213240 0.555563 105 3903505 362538726581.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 8 32 1 1048576 1567098 48568190 20.491839 0.552878 105 3903502 362538487536.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 8 32 0 1048576 1568076 48567563 20.345508 0.561701 104 3904212 1689093604396.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 8 32 1 1048576 1566686 48568953 20.348963 0.565856 104 3904188 1689092347497.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 8 32 0 1048576 1502893 46618598 19.160595 0.492231 101 2384060 193423407917.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 8 32 1 1048576 1503099 46618392 19.826854 0.495078 101 2384061 193423387715.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 8 32 0 1048576 1503024 46622778 19.336065 0.501159 100 2384724 931767256300.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 8 32 1 1048576 1505506 46620296 19.488195 0.505012 100 2384788 931772678205.00
fbA kCS random 8 32 2 357059 1346563 41710948 17.064294 0.525382 333 32293 29135358011.00
fbC kCS random 8 32 2 990023 1270715 39383996 16.223095 0.919910 332 31000 239913214155.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 8 32 2 1048576 1572405 48756951 20.486370 0.637005 112 4148162 438656721325.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 8 32 2 1048576 1572904 48756342 20.741206 0.611303 107 4148301 1932891248795.00
