graph algo p k cores repeat v local_e cross_e read_time running_time rounds matching_size matching_weight
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 32 2 1 1048576 25068784 25066504 24.676756 12.200053 263 13657236 839436009807.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 32 2 2 1048576 25068389 25066899 24.885287 12.307295 262 13657241 839436814907.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 4 2 0 1048576 25070612 25064676 24.642365 3.706602 61 1983088 215865331351.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 4 2 1 1048576 25068784 25066504 24.654318 3.673849 60 1983090 215865228432.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 4 2 2 1048576 25068389 25066899 24.613164 3.683239 61 1983093 215865348151.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 16 2 0 1048576 25063135 25072504 24.752018 7.809785 163 7500249 3039072419552.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 16 2 1 1048576 25067561 25068078 25.095973 7.876396 164 7500097 3039059562419.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 16 2 2 1048576 25063046 25072593 24.851433 7.918145 162 7500096 3039064321603.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 32 2 0 1048576 25063135 25072504 24.676206 12.490317 271 13661239 5046498212181.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 32 2 1 1048576 25067561 25068078 24.920875 12.460711 269 13661070 5046494581880.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 32 2 2 1048576 25063046 25072593 25.008964 12.588634 274 13661194 5046498746792.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 4 2 0 1048576 25063135 25072504 24.808545 3.693120 60 1983336 891730428308.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 4 2 1 1048576 25067561 25068078 24.769861 3.676296 61 1983315 891724534377.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 4 2 2 1048576 25063046 25072593 25.913780 3.693930 62 1983306 891725587516.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 16 2 0 1048576 24063168 24058323 22.840907 7.819045 170 4086018 294533256708.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 16 2 1 1048576 24067675 24053816 22.539222 7.813788 171 4086005 294532984924.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 16 2 2 1048576 24060305 24061186 22.766123 7.792426 170 4086027 294533320334.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 32 2 0 1048576 24063168 24058323 22.422102 12.927603 317 6744780 428174911435.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 32 2 1 1048576 24067675 24053816 22.344343 12.843694 312 6744776 428175011066.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 32 2 2 1048576 24060305 24061186 22.907647 12.763142 315 6744782 428175056530.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 4 2 0 1048576 24063168 24058323 22.397572 3.902774 58 1324968 120664678742.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 4 2 1 1048576 24067675 24053816 22.306850 3.891255 58 1324970 120664628057.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 4 2 2 1048576 24060305 24061186 22.645281 3.893610 59 1324971 120664671309.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 16 2 0 1048576 24056023 24069779 22.936627 7.719309 168 4088384 1533137444269.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 16 2 1 1048576 24066811 24058991 22.846038 7.793512 168 4088369 1533129676616.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 16 2 2 1048576 24062508 24063294 22.744273 7.817469 169 4088375 1533130192718.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 32 2 0 1048576 24056023 24069779 22.720080 12.835679 315 6747112 2402178672880.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 32 2 1 1048576 24066811 24058991 22.817536 12.953661 317 6747113 2402173426423.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 32 2 2 1048576 24062508 24063294 23.901635 12.831955 315 6747092 2402176835499.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 4 2 0 1048576 24056023 24069779 22.867284 3.869783 58 1325444 536854983343.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 4 2 1 1048576 24066811 24058991 22.730573 3.950960 57 1325452 536857595768.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 4 2 2 1048576 24062508 24063294 23.622417 3.898996 58 1325443 536857954924.00
fbA kCS random 16 4 0 357059 10763443 32294068 17.022847 2.930097 574 62610 47847442517.00
fbA kCS random 16 4 1 357059 10771595 32285916 17.067999 2.949709 580 62607 47847430676.00
fbA kCS random 16 4 2 357059 10764721 32292790 17.128637 2.948143 577 62610 47847436079.00
fbA kCS random 32 4 0 357059 10763443 32294068 17.078162 4.150090 982 120240 79337815405.00
fbA kCS random 32 4 1 357059 10771595 32285916 17.368284 4.133851 958 120246 79337820105.00
fbA kCS random 32 4 2 357059 10764721 32292790 17.189664 4.021818 994 120252 79337813976.00
fbA kCS random 4 4 0 357059 10763443 32294068 18.213771 2.525164 177 16324 17915577116.00
fbA kCS random 4 4 1 357059 10771595 32285916 17.235608 2.558629 168 16316 17915554149.00
fbA kCS random 4 4 2 357059 10764721 32292790 17.637966 2.555897 175 16321 17915580105.00
fbC kCS random 16 4 0 990023 10159692 30495019 16.982733 5.820250 634 59379 369196110795.00
fbC kCS random 16 4 1 990023 10161134 30493577 16.852903 5.425675 621 59380 369195416020.00
fbC kCS random 16 4 2 990023 10164936 30489775 16.746097 6.138479 630 59380 369196062604.00
fbC kCS random 32 4 0 990023 10159692 30495019 16.923770 10.219057 1081 116163 414694531434.00
fbC kCS random 32 4 1 990023 10161134 30493577 16.852152 8.597884 1098 116161 414693888846.00
fbC kCS random 32 4 2 990023 10164936 30489775 16.990852 10.872442 1065 116161 414694904034.00
fbC kCS random 4 4 0 990023 10159692 30495019 17.064808 2.427819 156 16760 138331289724.00
fbC kCS random 4 4 1 990023 10161134 30493577 17.073359 2.360397 158 16761 138331247551.00
fbC kCS random 4 4 2 990023 10164936 30489775 16.899447 2.455592 156 16762 138331290691.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 16 4 0 1048576 12581650 37747706 22.424934 3.371261 172 8289694 717952339318.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 16 4 1 1048576 12580783 37748573 22.996074 3.303996 172 8289616 717951202140.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 16 4 2 1048576 12578575 37750781 22.409510 3.312017 173 8289608 717953470947.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 32 4 0 1048576 12581650 37747706 22.476579 5.158021 254 16545143 1095275806901.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 32 4 1 1048576 12580783 37748573 22.364909 5.165640 252 16544828 1095272436987.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 32 4 2 1048576 12578575 37750781 22.278799 5.124095 252 16544789 1095276261800.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 4 4 0 1048576 12581650 37747706 22.504167 1.651305 66 2074901 254876588544.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 4 4 1 1048576 12580783 37748573 23.410552 1.660878 65 2074903 254876558431.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 4 4 2 1048576 12578575 37750781 22.388729 1.653346 65 2074895 254876505045.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 16 4 0 1048576 12584425 37744821 22.657435 3.371055 168 8289803 3708185772652.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 16 4 1 1048576 12587691 37741555 22.957186 3.312812 169 8289761 3708157803811.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 16 4 2 1048576 12587006 37742240 22.574464 3.316758 168 8289766 3708162046923.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 32 4 0 1048576 12584425 37744821 23.043087 5.189600 252 16545360 6765924491298.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 32 4 1 1048576 12587691 37741555 22.618342 5.240381 255 16544871 6765869315740.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 32 4 2 1048576 12587006 37742240 22.589671 5.092313 252 16544881 6765921838632.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 4 4 0 1048576 12584425 37744821 22.657661 1.655224 69 2074731 985248043274.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 4 4 1 1048576 12587691 37741555 23.006402 1.646234 68 2074744 985250340296.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 4 4 2 1048576 12587006 37742240 22.582521 1.649439 69 2074729 985251187877.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 16 4 0 1048576 12534695 37600593 22.224499 3.777952 162 7497865 572598093143.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 16 4 1 1048576 12532591 37602697 21.778566 3.773001 162 7497859 572597574781.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 16 4 2 1048576 12538050 37597238 22.099247 3.717595 162 7497869 572596922466.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 32 4 0 1048576 12534695 37600593 21.690012 5.887124 262 13657152 839436589245.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 32 4 1 1048576 12532591 37602697 22.586175 5.864689 263 13657236 839436009807.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 32 4 2 1048576 12538050 37597238 21.911862 5.818367 263 13657241 839436814907.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 4 4 0 1048576 12534695 37600593 21.884770 1.883127 63 1983088 215865331351.00
