graph algo epsilon k cores repeat v local_e cross_e read_time running_time rounds matching_size matching_weight
fb_clusterA_full kM 0.5 16 8 1 357059 5383848 37673663 2.983942 0.979704 15 62721 44430466735.00
fb_clusterA_full kM 0.5 16 8 2 357059 5383808 37673703 3.015256 0.938699 15 62747 44421264745.00
fb_clusterA_full kM 0.5 2 1 0 357059 43057511 0 20.525491 8.731671 9 8265 9148485588.00
fb_clusterA_full kM 0.5 2 1 1 357059 43057511 0 21.639096 9.362457 9 8265 9148485588.00
fb_clusterA_full kM 0.5 2 1 2 357059 43057511 0 22.290008 8.867267 9 8265 9148485588.00
fb_clusterA_full kM 0.5 2 32 0 357059 1347533 41709978 3.785107 0.254937 9 8259 9025180951.00
fb_clusterA_full kM 0.5 2 32 1 357059 1346507 41711004 3.641000 0.240859 10 8262 9035516008.00
fb_clusterA_full kM 0.5 2 32 2 357059 1346563 41710948 3.110531 0.226598 9 8263 9037896127.00
fb_clusterA_full kM 0.5 2 8 0 357059 5384110 37673401 2.970740 0.416604 9 8258 9048793191.00
fb_clusterA_full kM 0.5 2 8 1 357059 5383848 37673663 3.050621 0.415124 9 8264 9028067580.00
fb_clusterA_full kM 0.5 2 8 2 357059 5383808 37673703 2.961932 0.475393 9 8262 9037100599.00
fb_clusterA_full kM 0.5 8 1 0 357059 43057511 0 17.333111 6.507483 13 32388 26292912074.00
fb_clusterA_full kM 0.5 8 1 1 357059 43057511 0 16.741190 8.500401 13 32388 26292912074.00
fb_clusterA_full kM 0.5 8 1 2 357059 43057511 0 17.077169 7.676562 13 32388 26292912074.00
fb_clusterA_full kM 0.5 8 32 0 357059 1347533 41709978 3.999282 0.454616 14 32383 26340182772.00
fb_clusterA_full kM 0.5 8 32 1 357059 1346507 41711004 4.191458 0.417600 14 32366 26324107284.00
fb_clusterA_full kM 0.5 8 32 2 357059 1346563 41710948 3.731075 0.412154 14 32370 26363246699.00
fb_clusterA_full kM 0.5 8 8 0 357059 5384110 37673401 2.961324 0.669163 13 32389 26334364883.00
fb_clusterA_full kM 0.5 8 8 1 357059 5383848 37673663 3.025297 0.697188 13 32387 26365559712.00
fb_clusterA_full kM 0.5 8 8 2 357059 5383808 37673703 3.001372 0.692631 14 32385 26328294443.00
fb_clusterA_full kM 0 8 1 0 357059 43057511 0 20.205682 277.954337 188 32313 29152160464.00
fb_clusterA_full kM 0 8 1 1 357059 43057511 0 22.315281 281.035560 188 32313 29152160464.00
fb_clusterA_full kM 0 8 1 2 357059 43057511 0 22.479032 281.308403 188 32313 29152160464.00
fb_clusterA_full kM 0 8 32 0 357059 1347533 41709978 2.398044 5.768656 188 32329 29154545498.00
fb_clusterA_full kM 0 8 32 1 357059 1346507 41711004 2.358849 5.201601 188 32341 29142516301.00
fb_clusterA_full kM 0 8 32 2 357059 1346563 41710948 2.561289 4.580500 186 32319 29144599491.00
fb_clusterA_full kM 0 8 8 0 357059 5384110 37673401 2.978102 6.229679 187 32317 29158047225.00
fb_clusterA_full kM 0 8 8 1 357059 5383848 37673663 3.016956 10.020700 194 32334 29138389388.00
fb_clusterA_full kM 0 8 8 2 357059 5383808 37673703 3.214096 9.552512 188 32330 29146546946.00
fb_clusterA_full kM 1 16 1 0 357059 43057511 0 16.089386 4.673796 1 66926 1572470615.00
fb_clusterA_full kM 1 16 1 1 357059 43057511 0 15.903060 5.876138 1 66926 1572470615.00
fb_clusterA_full kM 1 16 1 2 357059 43057511 0 14.669053 4.774288 1 66926 1572470615.00
fb_clusterA_full kM 1 16 32 0 357059 1347533 41709978 2.500610 0.534505 2 66698 936771461.00
fb_clusterA_full kM 1 16 32 1 357059 1346507 41711004 3.080574 0.559589 3 66722 881041106.00
fb_clusterA_full kM 1 16 32 2 357059 1346563 41710948 2.767803 0.535798 4 66701 904856905.00
fb_clusterA_full kM 1 16 8 0 357059 5384110 37673401 3.095529 0.942727 3 66668 1114059871.00
fb_clusterA_full kM 1 16 8 1 357059 5383848 37673663 3.002508 1.000774 2 66724 1044950195.00
fb_clusterA_full kM 1 16 8 2 357059 5383808 37673703 3.008541 0.926958 2 66691 1104880190.00
fb_clusterA_full kM 1 2 1 0 357059 43057511 0 13.850017 6.106543 1 8818 396953705.00
fb_clusterA_full kM 1 2 1 1 357059 43057511 0 15.526228 7.565147 1 8818 396953705.00
fb_clusterA_full kM 1 2 1 2 357059 43057511 0 14.302544 7.398135 1 8818 396953705.00
fb_clusterA_full kM 1 2 32 0 357059 1347533 41709978 2.432924 0.355441 2 8801 137152573.00
fb_clusterA_full kM 1 2 32 1 357059 1346507 41711004 3.328602 0.304526 2 8802 120252561.00
